Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks,268,245,271,269,276,286,305,339,379,390,379,396,447,584,585,840,925,"1,150","1,210",,,,,,,,,,,,,,,,,,,,
Atlanta Braves,388,407,424,423,374,282,405,458,497,446,450,482,508,629,730,"1,150","1,180","1,500","1,625",,,,,,,,,,,,,,,,,,,,
Baltimore Orioles,347,335,319,310,296,341,359,395,398,400,376,411,460,618,620,"1,000","1,000","1,180","1,200",,,,,,,,,,,,,,,,,,,,
Boston Red Sox,284,339,426,488,553,563,617,724,816,833,870,912,"1,000","1,312","1,500","2,100","2,300","2,700","2,800",,,,,,,,,,,,,,,,,,,,
Chicago Cubs,242,247,287,335,358,398,448,592,642,700,726,773,879,"1,000","1,200","1,800","2,200","2,680","2,900",,,,,,,,,,,,,,,,,,,,
Chicago White Sox,166,213,223,233,248,262,315,381,443,450,466,526,600,692,695,975,"1,050","1,350","1,500",,,,,,,,,,,,,,,,,,,,
Cincinnati Reds,175,187,204,223,245,255,274,307,337,342,331,375,424,546,600,885,905,915,"1,010",,,,,,,,,,,,,,,,,,,,
Cleveland Indians,364,372,360,331,292,319,352,364,417,399,391,353,410,559,570,825,800,920,"1,045",,,,,,,,,,,,,,,,,,,,
Colorado Rockies,305,334,347,304,285,290,298,317,310,373,384,414,464,537,575,855,860,"1,000","1,100",,,,,,,,,,,,,,,,,,,,
Detroit Tigers,200,290,262,237,235,239,292,357,407,371,375,385,478,643,680,"1,125","1,150","1,200","1,225",,,,,,,,,,,,,,,,,,,,
Houston Astros,280,318,337,327,320,357,416,442,463,445,453,474,549,626,530,800,"1,100","1,450","1,650",,,,,,,,,,,,,,,,,,,,
Kansas City Royals,122,138,152,153,171,187,237,282,301,314,341,351,354,457,490,700,865,950,"1,015",,,,,,,,,,,,,,,,,,,,
Los Angeles Angels Anaheim,195,198,195,225,241,294,368,431,500,509,521,554,656,718,775,"1,300","1,340","1,750","1,800",,,,,,,,,,,,,,,,,,,,
Los Angeles Dodgers,325,381,435,449,399,424,482,632,694,722,727,800,"1,400","1,615","2,000","2,400","2,500","2,750","3,000",,,,,,,,,,,,,,,,,,,,
Miami Marlins,125,128,137,136,172,206,226,244,256,277,317,360,450,520,500,650,675,940,"1,000",,,,,,,,,,,,,,,,,,,,
Milwaukee Brewers,167,209,238,206,174,208,235,287,331,341,351,376,448,562,565,875,875,925,"1,030",,,,,,,,,,,,,,,,,,,,
Minnesota Twins,91,99,127,148,168,178,216,288,328,356,405,490,510,578,605,895,910,"1,030","1,150",,,,,,,,,,,,,,,,,,,,
New York Mets,314,454,482,498,442,505,604,736,824,912,858,747,719,811,800,"1,350","1,650","2,000","2,100",,,,,,,,,,,,,,,,,,,,
New York Yankees,548,635,752,849,832,950,"1,026","1,200","1,306","1,500","1,600","1,700","1,850","2,300","2,500","3,200","3,400","3,700","4,000",,,,,,,,,,,,,,,,,,,,
Oakland Athletics,134,149,157,172,186,185,234,292,323,319,295,307,321,468,495,725,725,880,"1,020",,,,,,,,,,,,,,,,,,,,
Philadelphia Phillies,150,158,231,239,281,392,424,457,481,496,537,609,723,893,975,"1,250","1,240","1,650","1,700",,,,,,,,,,,,,,,,,,,,
Pittsburgh Pirates,161,211,242,224,217,219,250,274,292,288,289,304,336,479,572,900,975,"1,250","1,260",,,,,,,,,,,,,,,,,,,,
San Diego Padres,197,176,207,226,265,329,354,367,385,401,408,406,458,600,615,890,890,"1,130","1,270",,,,,,,,,,,,,,,,,,,,
San Francisco Giants,237,333,355,382,368,381,410,459,494,471,483,563,643,786,"1,000","2,000","2,250","2,650","2,850",,,,,,,,,,,,,,,,,,,,
Seattle Mariners,290,332,373,385,396,415,428,436,466,426,439,449,585,644,710,"1,100","1,200","1,400","1,450",,,,,,,,,,,,,,,,,,,,
St. Louis Cardinals,219,243,271,308,314,370,429,460,484,466,488,518,591,716,820,"1,400","1,600","1,800","1,900",,,,,,,,,,,,,,,,,,,,
Tampa Bay Rays,163,150,142,145,152,176,209,267,292,320,316,331,323,451,485,625,650,825,900,,,,,,,,,,,,,,,,,,,,
Texas Rangers,294,342,356,332,306,326,353,365,412,405,451,561,674,764,825,"1,220","1,230","1,550","1,600",,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays,162,161,182,166,169,214,286,344,352,353,326,337,413,568,610,870,900,"1,300","1,350",,,,,,,,,,,,,,,,,,,,
Washington Nationals,,,,,,310,440,447,460,406,387,417,480,631,700,"1,280","1,300","1,600","1,675",,,,,,,,,,,,,,,,,,,,
Averages,238,268,293,301,301,329,376,431,470,481,491,523,605,744,811,"1,200","1,288","1,538","1,645",,,,,,,,,,,,,,,,,,,,
Medians,219,245,271,269,281,302,354,374,415,403,407,433,494,628,650,988,"1,075","1,325","1,400",,,,,,,,,,,,,,,,,,,,
Minimums,91,99,127,136,152,176,209,244,256,277,289,304,321,451,485,625,650,825,900,,,,,,,,,,,,,,,,,,,,
Maximums,548,635,752,849,832,950,"1,026","1,200","1,306","1,500","1,600","1,700","1,850","2,300","2,500","3,200","3,400","3,700","4,000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.forbes.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
