Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
CoRoT-10 b,0.0,0.013,0.007,0.97,2.75,796.0,670.0,3.86,13.2406,2.9808,11.8,345.0,5075.0,4.65,True,nexsci
CoRoT-14 b,0.057,0.024,0.001,1.09,7.6,2317.0,1948.0,4.2,1.5121,1.6632,13.8,1340.0,6035.0,4.35,True,nexsci
CoRoT-18 b,0.082,0.062,0.01,1.31,3.47,1816.0,1527.0,3.7,1.9001,2.388,13.0,870.0,5440.0,4.4,True,nexsci
CoRoT-20 b,0.001,0.006,0.001,0.84,4.3,1107.0,931.0,4.179,9.2429,2.2248,12.5,864.31,4948.0,4.35,True,nexsci
CoRoT-24 b,0.0,0.002,0.029,0.33,0.018,1112.0,935.0,2.612,5.1134,2.8512,12.9,600.0,4950.0,4.55,True,nexsci
CoRoT-27 b,0.019,0.024,0.001,1.01,10.39,1612.0,1355.0,4.405,3.5753,2.7696,13.0,1035.15,5900.0,4.4,True,nexsci
CoRoT-2 b,0.417,0.314,0.058,1.47,3.47,1840.0,1547.0,3.602,1.743,2.267,10.3,200.0,5625.0,4.53,True,nexsci
CoRoT-5 b,,,,1.39,0.467,1716.0,1443.0,2.779,4.0379,,12.5,904.65,6100.0,4.19,True,nexsci
CoRoT-9 b,0.0,0.002,0.023,1.07,0.84,498.0,419.0,3.263,95.2727,8.268,11.7,417.89,5625.0,4.54,True,nexsci
K2-165 d,,,,0.24,0.0236,,,3.021,14.1014,,9.5,135.1,5185.0,4.46,True,nexsci
K2-169 b,,,,0.11,0.00681,,,3.114,6.3808,,10.4,237.35,5548.0,4.56,True,nexsci
K2-171 b,,,,0.24,0.0242,,,3.018,5.6285,,10.5,616.41,5250.0,3.95,True,nexsci
K2-173 b,,,,0.14,0.0101,,,3.088,5.8687,,10.3,230.14,5580.0,4.52,True,nexsci
K2-177 b,,,,0.19,0.0161,,,3.048,14.1552,,10.6,499.02,6063.0,4.38,True,nexsci
K2-190 b,,,,0.12,0.00758,,,3.108,10.0989,,9.4,161.42,5631.0,4.38,True,nexsci
K2-198 b,,,,0.37,0.0514,,716.0,2.959,17.0429,,9.2,110.91,5213.0,4.63,True,nexsci
K2-201 c,,,,0.29,0.034,,,2.992,22.7799,,10.2,199.05,5507.0,4.68,True,nexsci
K2-204 b,,,,0.27,0.0299,,,3.001,7.0558,,11.5,586.87,5755.0,4.23,True,nexsci
K2-207 b,,,,0.23,0.023,,,3.025,12.4875,,11.4,366.84,5522.0,4.41,True,nexsci
K2-210 b,,,,0.07,0.00149,,,2.841,0.5702,,9.9,177.39,5396.0,4.55,True,nexsci
K2-218 b,,,,0.23,0.0224,,,3.025,8.6799,,11.2,398.41,5757.0,4.45,True,nexsci
K2-219 d,,,,0.23,0.0225,,,3.023,11.1373,,10.4,328.42,5753.0,4.23,True,nexsci
Kepler-117 c,0.0,0.004,0.004,1.1,1.84,845.0,711.0,3.575,50.7904,10.877,13.0,1430.0,6150.0,4.1,True,nexsci
Kepler-426 b,0.021,0.029,0.051,1.09,0.34,1548.0,1301.0,2.851,3.2175,2.1204,13.2,880.0,5725.0,4.47,True,nexsci
Kepler-434 b,0.002,0.008,0.003,1.13,2.86,1191.0,1001.0,3.744,12.8747,2.2805,13.0,1240.0,5977.0,4.24,True,nexsci
Kepler-87 c,0.0,0.0,0.03,0.55,0.02,527.0,443.0,2.218,191.2318,16.614,13.0,1277.88,5600.0,3.96,True,nexsci
CoRoT-29 b,0.013,0.022,0.012,0.9,0.85,1456.0,1225.0,3.415,2.8506,2.19,13.0,765.0,5260.0,4.3,True,nexsci
CoRoT-3 b,0.049,0.032,0.001,1.01,21.66,2007.0,1688.0,4.721,4.2568,3.384,11.6,680.0,6740.0,4.22,True,nexsci
CoRoT-4 b,,,,1.19,0.72,1280.0,1076.0,3.1,9.202,,12.3,741.6,6190.0,4.41,True,nexsci
CoRoT-6 b,0.007,0.032,0.01,1.17,2.96,1206.0,1014.0,3.732,8.8866,4.08,12.1,657.24,6090.0,4.43,True,nexsci
CoRoT-1 b,,,,1.49,1.03,2167.0,1822.0,3.061,1.509,,12.1,805.31,5950.0,4.25,True,nexsci
CoRoT-23 b,0.043,0.028,0.005,1.05,2.8,1959.0,1648.0,3.799,3.6313,3.888,12.4,600.0,5900.0,4.3,True,nexsci
CoRoT-8 b,0.001,0.012,0.027,0.57,0.22,1018.0,856.0,3.225,6.2123,2.7408,11.5,380.0,5080.0,4.58,True,nexsci
CoRoT-24 c,0.0,0.002,0.014,0.44,0.088,841.0,707.0,3.052,11.759,4.8,12.9,600.0,4950.0,4.55,True,nexsci
CoRoT-25 b,0.013,0.019,0.043,1.08,0.27,1572.0,1322.0,2.759,4.8607,1.92,12.8,1000.0,6040.0,4.31,True,nexsci
CoRoT-11 b,0.164,0.095,0.027,1.43,2.33,2070.0,1741.0,3.451,2.9943,2.5008,11.2,560.0,6440.0,4.22,True,nexsci
CoRoT-12 b,0.043,0.041,0.031,1.44,0.917,1719.0,1445.0,3.04,2.828,2.5742,13.6,1150.0,5675.0,4.38,True,nexsci
CoRoT-13 b,0.01,0.017,0.007,0.89,1.308,1517.0,1276.0,3.617,4.0352,3.1392,13.4,1060.0,5945.0,4.46,True,nexsci
CoRoT-26 b,0.035,0.025,0.026,1.26,0.52,1870.0,1572.0,2.909,4.2047,5.4696,13.3,1670.0,5590.0,3.99,True,nexsci
CoRoT-16 b,0.011,0.021,0.028,1.17,0.535,1422.0,1196.0,2.986,5.3523,2.3904,12.8,840.0,5650.0,4.36,True,nexsci
BD+20 594 b,,,,0.23,0.07,700.0,589.0,3.516,41.6855,,9.4,180.39,5766.0,4.5,True,nexsci
OGLE-TR-211 b,0.052,0.03,0.018,1.36,1.03,2057.0,1730.0,3.14,3.6772,4.4112,13.4,1574.54,6325.0,4.17,True,nexsci
SWEEPS-4 b,,,,0.81,3.8,,,4.157,4.2,,,8500.0,,,True,nexsci
55 Cnc e,0.284,0.102,0.223,0.17,0.02542,2325.0,1955.0,3.338,0.7365,1.5792,4.0,12.59,5196.0,4.45,True,nexsci
WASP-105 b,0.003,0.037,,0.96,1.8,1007.0,847.0,3.685,7.8729,3.72,,252.52,5070.0,4.2,True,nexsci
WASP-114 b,0.131,0.048,0.014,1.34,1.769,2412.0,2029.0,3.388,1.5488,2.7821,13.2,460.0,5940.0,4.3,True,nexsci
